question,note,optionD,optionC,optionB,mark,count,optionF,questionid,subject,optionE,year,type,optionA,paperName,answer
工作面倾角在（）°以上时，配套的刮板输送机必须装设防滑、锚固装置。,,,15,12,0,,,2696,,,2017,单选题,10,2017B500,B
突出煤层的采掘工作面，有瓦斯喷出危险的采掘工作面和瓦斯涌出较大、变化异常的采掘工作面，瓦斯浓度检查次数()。,,必须有专人经常检查,每班至少4次,每班至少3次,0,,,2732,,,2017,单选题,每班至少2次,2017B500,D
重大危险源分为生产场所重大危险源和贮存区重大危险源两种。,,,,,0,2,,1472,,,2012,判断题,,应急管理,y
突出与冲击地压煤层在长距离的掘进巷道中，每组压风自救装置应当可供（）使用，平均每人空气供给量不得少于0.1m3/min。,,10～15人,8～10人,5～8人,0,1,,2580,,,2017,单选题,3～5人,2017B500,B
《安全生产法》适用于中华人民共和国领域内从事生产经营活动的单位，因此，自然适用于香港和澳门两个特别行政区。,,,,,0,,,1720,,,2016,判断题,,2016B500,n
启封火区时，应逐段恢复通风，同时测定回风流中有无一氧化碳。,,,,,0,,,1281,,,2012,判断题,,一通三防,y
采取了防护措施后，可以在防隔水煤柱中采掘。,,,,,0,,,1042,,,2012,判断题,,地质安全,n
新建矿井揭露的水文地质条件比地质报告复杂的，应当进行水文地质补充勘探，及时查明水害隐患，采取可靠的安全防范措施。井下探放水应当采用专用钻机、由专业人员和专职探放水队伍进行施工。,,,,,0,,,1101,,,2012,判断题,,地质安全,y
《煤矿隐患排查和整顿关闭实施办法<试行>》规定：对决定关闭的煤矿，由有关地方人民政府立即组织实施，责令煤矿企业(        )。,,恢复地貌,平整井口场地,封闭、填实矿井井筒,0,,,611,,,2012,多选题,拆除矿井生产设备和通信设施,法律法规,ABCD
在有煤与瓦斯突出危险的煤层中，可以用放顶煤采煤法。,,,,,0,,,1190,,,2012,判断题,,开采安全,n
建立安全生产责任制能够明确生产经营单位中各级负责人员、各职能部门及其工作人员和各岗位生产人员在安全生产中应履行的职责和应承担的责任。,,,,,0,,,980,,,2012,判断题,,安全管理,y
《煤矿领导带班下井及安全监督检查规定》所称煤矿领导，是指煤矿的(        )。,,副总工程师,领导班子成员,主要负责人助理,0,,,920,,,2012,多选题,主要负责人,安全管理,ACD
《煤矿领导带班下井及安全监督检查规定》第十八条规定：煤矿有下列(        )情形之一的，给予警告，并处3万元罚款。,,来按规定填写煤矿领导下井交接班记录簿、带班下井记录或者保存带班下井相关记录档案的,煤矿领导每月带班下井情况未按照规定公示的,未建立煤矿领导井下交接班制度的或未建立煤矿领导带班下井档案管理制度的,0,1,,856,,,2012,多选题,未建立健全煤矿领导带班下井制度，或者未按规定报煤炭行业管理部门备案和抄送煤矿安全监管部门、煤矿安全监察机构的,安全管理,ABCD
依据《安全生产法》，事故调查处理应当按照实事求是、尊重科学的原则，及时、准确地查清事故的原因。,,,,,0,2,,1746,,,2016,判断题,,2016B500,n
“超能力、超强度或者超定员组织生产”是指有下列(        )情形之一。,,一个采区内同一煤层布置3个(含3个)以上回采工作面或5个(含5个)以上掘进工作面同时作业,矿井月产量超过当月产量计划10％,矿井全年产量超过矿井核定生产能力,0,3,,743,,,2012,多选题,矿井全年产量达到矿井核定生产能力,法律法规,BCD
《山西省煤矿安全质量标准化标准》中通风专业标准要求采用局部通风机供风的巷道应实现(        )，具备相互独立的两回路电源。,,“三专两闭锁”,“三开一防”,“五通一平”,1,,,2195,,,2016,单选题,“三同时”,2016B500,D
发生在上行风流中的火灾，产生的火风压会使火源所在巷道风量(        )。,,,不变,减小,0,,,515,,,2012,单选题,增加,应急管理,A
紧急避险设施的（）应满足服务区域所有人员紧急避险需要。,,类型,位置,容量,1,,,2772,,,2017,多选题,数量,2017B500,"A,B,C"
《山西省人民政府安全生产委员会关于印发进一步加强煤矿瓦斯防治的八项规定的通知》规定：加强从业人员培训管理，开展“(        )”安全知识培训，提高员工辨识瓦斯隐患的能力、处置瓦斯隐患的能力、避灾脱险的能力及防范事故的能力。,,,人人都是监督员,人人都是通风员,0,,,2170,,,2016,单选题,人人都是班组长,2016B500,B
携带爆炸材料上、下井时，在每层罐笼内搭乘的携带爆炸材料的人员不得超过(        )人，其他人员不得同罐上下。,,,5,4,0,,,124,,,2012,单选题,2,爆破安全,B
《煤矿安全规程》第四十五条规定：在揭露老空时，只有经过检查，(        )，方可恢复工作。,,,进行瓦斯抽放后,证明老空内的水、瓦斯和其他有害气体等无危险后,0,,,335,,,2012,单选题,将人员撤至安全地点,开采安全,B
国家对煤矿企业实行安全生产许可制度。煤矿企业未取得安全生产许可证的，不得从事生产活动。,,,,,0,,,1554,,,2012,判断题,,法律法规,y
煤矿企业每年必须至少组织(        )次矿井救灾演习。,,,3,2,0,,,49,,,2012,单选题,1,安全管理,A
对于煤层顶、底板带压的采掘工作面，应当提前编制防治水设计，制定并落实水害防治措施。?（）,,,,,0,,,2419,,,2017,判断题,,2017B500,y
采用轨道机车运输的巷道净高，自轨面起不得低于2m。架线电机车巷道从井底到乘车场，不得小于2.2m，其他地点行人的不小于2m，不行人的不小于1.9m。,,,,,0,,,2460,,,2017,判断题,,2017B500,n
《安全生产法》规定，给予(        )的行政处罚由公安机关依照治安管理处罚条例的规定决定。,,吊销执照,罚款,拘留,0,2,,2141,,,2016,单选题,关闭,2016B500,B
井下电气设备的局部接地极可设置于电气设备就近潮湿处。,,,,,0,,,1421,,,2012,判断题,,机电运输,y
《煤矿安全监察条例》规定：煤矿发生事故后，阻碍、干涉事故调查工作，拒绝接受调查取证、提供有关资料和情况的，给予警告，可以并处3万元以上15万元以下的罚款，情节严重的，责令(        )。,,,停产整顿,限期改正,0,,,296,,,2012,单选题,关闭,法律法规,C
煤矿企业安全检查必须由本企业的(        )亲自组织。,,,安全管理部,分管安全领导,0,1,,535,,,2012,单选题,主要负责人,安全管理,A
带式输送机运转中，发生断带事故的主要原因是(        )，,,输送带磨损超限、老化,输送带接头质量不符合要求,严重超载,0,,,823,,,2012,多选题,输送带张力过大,机电运输,ABCD
"突出矿井必须建设采区避难硐室,必须接入矿井（）,满足避险人员的避险需要。",,通信线路,供电线路,供水管路,0,1,,2767,,,2017,多选题,压风管路,2017B500,"A,B"
井下电气设备保护接地的主接地极应在(        )各埋设1块。,,,水沟、潮湿处,主、副水仓中,0,,,424,,,2012,单选题,水仓、水沟中,机电运输,B
对因瓦斯浓度超限被切断电源的电气设备，必须在瓦斯浓度降到(        )％以下时，方可通电开动。,,,1,0.75,0,1,,32,,,2012,单选题,0.5,一通三防,C
根据《矿山安全法》之规定，作为矿长，必须经过考核，(        )。,,具有处理矿山事故的能力,具有领导安全生产的能力,具备市场经济知识,0,,,730,,,2012,多选题,具备安全专业知识,法律法规,ACD
掘进机停止工作和检修以及交班时，必须做到(        )。,,发出警报,断开磁力启动器的隔离开关,断开掘进机电源开关,0,,,710,,,2012,多选题,将掘进机切割头落地,机电运输,ABC
安全生产许可证颁发管理机关在监督检查中，发现企业不再具备本条例规定的安全生产条件的，必须及时予以处理。处理的方式有(        )。,,注销企业的安全丰产许可证,吊销企业的安全生产许可证,，没收企业的安全生产许可证,0,,,897,,,2012,多选题,暂扣企业的安全生产许可证,法律法规,AC
发生煤与瓦斯突出事故后，应该(        )。,,,保持或立即恢复正常通风,反风,0,,,439,,,2012,单选题,停风,应急管理,C
主要排水泵房的（）必须经常检查和维护。,,闸阀,配电设备,水管,0,,,2834,,,2017,多选题,水泵,2017B500,"A,B,C,D"
设置生产管理机构，配备生产管理人员，是企业取得安全生产许可证必须具备的安全生产条件之一。,,,,,0,,,1559,,,2012,判断题,,法律法规,n
矿山建设项目竣工投入生产或者使用前，必须依照有关法律、行政法规的规定对安全设施进行验收，施工单位对验收结果负责。,,,,,0,,,1536,,,2012,判断题,,法律法规,n
下列属于减尘措施的是(        )。,,,煤层注水,放炮喷雾,0,2,,544,,,2012,单选题,转载点喷水降尘,一通三防,C
新建矿井应当对井田范围内采掘工程可能揭露的所有平均厚度在()以上的煤层进行突出危险性评估，评估结果作为矿井初步设计和建井期间井巷揭煤作业的依据。,,0.5m,0.4m,0.3m,0,,,2754,,,2017,单选题,0.2m,2017B500,B
煤矿为了逃避应当承担的事故赔偿责任，在劳动合同中与从业人员订立“生死合同”是非法的，无效的，不受法律保护。,,,,,0,,,1777,,,2016,判断题,,2016B500,y
煤矿企业应当设置(        )。,,,安全生产监督机构和安全生产监督人员,安全生产管理机构或者配备专职安全生产管理人员,0,,,203,,,2012,单选题,安全监察机构和安全监察人员,安全管理,B
应急救援的基本任务是(        ),,查清事故原因，评估危害程度,清除事故现场危害后果,及时控制危险源,0,,,693,,,2012,多选题,及时营救遇难人员,应急管理,ABCD
“三同时”是指安全设施与主体工程同时设计、同时施工、(        )。,,,同时检修,同时结算,0,1,,442,,,2012,单选题,同时投入生产和使用,安全管理,A
有人触电导致呼吸停止、心脏停跳，此时在场人员应(        )。,,,立即打急救电话，等待急救人员赶到,迅速做心肺复苏,0,,,472,,,2012,单选题,迅速将伤员送往医院,应急管理,B
用带状充填法控制顶板时，必须在垒砌石垛带之前清扫底板上的浮煤，石砌带必须砌接到顶。,,,,,0,,,1146,,,2012,判断题,,开采安全,y
对小腿动脉出血，止血带的部位应在(        )处。,,,大腿上1／3,大腿中1／3,0,,,243,,,2012,单选题,大腿中下1／3,应急管理,A
《国务院办公厅关于进一步加强煤矿安全生产工作的意见》[国办发〔2013〕99号]要求强制查明隐蔽致灾因素。煤矿企业要加强建设、生产期间的(        )，查明井田范围内的瓦斯、水、火等隐蔽致灾因素，未查明的必须综合运用物探、钻探等勘查技术进行补充勘查；否则，一律不得继续建设和生产。,,,安全检查,地质勘查,0,,,2176,,,2016,单选题,隐患排查,2016B500,B
《山西省人民政府安全生产委员会关于印发进一步加强煤矿瓦斯防治的八项规定的通知》规定：按突出管理的矿井自鉴定<认定>之日起(        )内未完成突出煤层鉴定的，煤矿企业要立即认定为突出矿井。,,,一年,三个月,0,,,2219,,,2016,单选题,A半年,2016B500,A
炸药可以存放在井口房内一段时间。,,,,,0,,,1324,,,2012,判断题,,爆破安全,n
低压检漏装置运行期间，每天需要检查和试验的项目包括(        )。,,调节补偿效果,跳闸试验,欧姆表的指示数值,0,,,725,,,2012,多选题,局部接地极和辅助接地极的安设情况,机电运输,ABC
工作面内排头支架与巷道支护间距不应大于 (        )。,,,03m,05m,0,,,2243,,,2016,单选题,1m,2016B500,B
采掘工作面及其他作业地点风流中瓦斯浓度达到(        )％时，必须停止用电钻打眼,,,1,0.75,0,,,31,,,2012,单选题,0.5,一通三防,C
